,,,,,,
Alumni,Position,Year,Supervised by,scholar,Current position,Thesis
Xiaoxiao He,Ph.D.,2026,Dimitris Metaxas,https://scholar.google.com/citations?user=WmK6IOEAAAAJ&hl=en,Meta,
zhaoyang xia,Ph.D.,2026,Dimitris Metaxas,https://scholar.google.com/citations?user=oaQ7CbwAAAAJ&hl=en,Adobe,
Konstantinos Dafnis,Ph.D.,2026,Dimitris Metaxas,https://scholar.google.com/citations?user=Eqlr77IAAAAJ&hl=en,,
Anastasis Stathopoulos,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=FdaFVdcAAAAJ&hl=en,Meta,
Zhenting Wang,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=QSYVbj8AAAAJ&hl=en,Accenture,
Yunhe Gao,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=TOsFPu4AAAAJ&hl=en,Postdoc at Stanford,
Meng Ye,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=iYBbF7QAAAAJ&hl=en,Assistant Prof at UTA,
Qilong Zhangli,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=sLxp0xAAAAAJ&hl=zh-CN,Meta,
Di Liu,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=1uo3XsMAAAAJ&hl=en,Meta,
Zhixing Zhang,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=RhM5qHoAAAAJ&hl=en,Google,
Shiyu Zhao,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=M-qzlU8AAAAJ&hl=zh-CN,Amazon,
Song Wen,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=yTQbz6AAAAAJ&hl=en,Meta,
Zhuowei Li,Ph.D.,2025,Dimitris Metaxas,https://scholar.google.com/citations?user=51OJEPcAAAAJ&hl=en,Amazon,
Ligong Han,Ph.D.,2024,Dimitris Metaxas,https://scholar.google.com/citations?user=n2v43R4AAAAJ&hl=en,IBM-MIT Redhat,Towards controllable generative models
Yuxiao Chen,Ph.D.,2023,Dimitris Metaxas,https://scholar.google.com/citations?user=6PW8cyQAAAAJ&hl=zh-CN,Amazon,
Tingfeng Li,Ph.D.,2023,Dimitris Metaxas,https://scholar.google.com/citations?user=kDoYCPMAAAAJ&hl=en,NEC Lab America,
Ananya Jana,Ph.D.,2023,Dimitris Metaxas,https://scholar.google.com/citations?user=Hv43cfgAAAAJ&hl=en,Prof at Marshall University,
Shijie Geng,Ph.D.,2022,Dimitris Metaxas,https://scholar.google.com/citations?user=wujqvGYAAAAJ&hl=en,Amazon,
Qi Chang,Ph.D.,2022,Dimitris Metaxas,https://scholar.google.com/citations?user=t2vNAtIAAAAJ&hl=en,"Coupang (prev Tiktok, Amazon)",
Hui Qu,Ph.D.,2021,Dimitris Metaxas,https://scholar.google.com/citations?user=47vBQD4nVCoC&hl=en,Adobe,
Qiaoying Huang,Ph.D.,2021,Dimitris Metaxas,https://scholar.google.com/citations?user=6u-go5UAAAAJ&hl=en,Meta (MSL),
Pengxiang Wu,Ph.D.,2021,Dimitris Metaxas,https://scholar.google.com/citations?user=MXLs7GcAAAAJ&hl=en,Meta,
Jingru Yi,Ph.D.,2021,Dimitris Metaxas,https://scholar.google.com/citations?user=ieaWAcEAAAAJ&hl=en,Amazon,
Lezi Wang,Ph.D.,2021,Dimitris Metaxas,https://scholar.google.com/citations?user=B6JR50gAAAAJ&hl=en,Meta Reality Labs,
Yu Tian,Ph.D.,2021,Dimitris Metaxas,https://scholar.google.com/citations?user=DxPjkDoAAAAJ&hl=en,ByteDance Seed,
Long Zhao,Ph.D.,2021,Dimitris Metaxas,https://scholar.google.com/citations?user=YTyBTmgAAAAJ&hl=zh-CN,xAI (ex-Google Deepmind),
Zachary Daniels,Ph.D.,2020,Dimitris Metaxas,https://scholar.google.com/citations?user=AYPSp00AAAAJ&hl=en,SRI,Explanation-Driven Learning-Based Models for Visual Recognition Tasks
Chaowei Tan,Ph.D.,2020,Dimitris Metaxas,https://scholar.google.com/citations?user=rWeqFacAAAAJ&hl=en,Qualcomm,Machine learning based image segmentation for large-scale osteoarthritis analysis
Chintan Dalal,Ph.D.,2019,Dimitris Metaxas,https://scholar.google.com/citations?user=8fsSkSAAAAAJ&hl=en,Postdoc at University of Minnesota - Twin Cities,High-Dimensional Manifold Geostatistics
Bo Liu,Ph.D.,2019,Dimitris Metaxas,https://scholar.google.com/citations?user=2Fe93n8AAAAJ&hl=en,Walmart Global Tech,Optimization in Sparse Learning: from Convexity to Non-convexity
